Município,Mês,Quantidade
ABADIA DE GOIAS,January de 2021,0.0
ABADIA DE GOIAS,February de 2021,0.0
ABADIA DE GOIAS,March de 2021,0.0
ABADIA DE GOIAS,April de 2021,0.0
ABADIA DE GOIAS,May de 2021,0.0
ABADIA DE GOIAS,June de 2021,0.0
ABADIA DE GOIAS,July de 2021,0.0
ABADIA DE GOIAS,August de 2021,0.0
ABADIA DE GOIAS,September de 2021,0.0
ABADIA DE GOIAS,October de 2021,0.0
ABADIA DE GOIAS,November de 2021,1.0
ABADIA DE GOIAS,December de 2021,0.0
ABADIA DE GOIAS,January de 2022,0.0
ABADIA DE GOIAS,February de 2022,0.0
ABADIA DE GOIAS,March de 2022,0.0
ABADIA DE GOIAS,April de 2022,0.0
ABADIA DE GOIAS,May de 2022,0.0
ABADIA DE GOIAS,June de 2022,0.0
ABADIA DE GOIAS,July de 2022,0.0
ABADIA DE GOIAS,August de 2022,1.0
ABADIA DE GOIAS,September de 2022,0.0
ABADIA DE GOIAS,October de 2022,0.0
ABADIA DE GOIAS,November de 2022,0.0
ABADIA DE GOIAS,December de 2022,0.0
ABADIA DE GOIAS,January de 2023,0.0
ABADIA DE GOIAS,February de 2023,0.0
ABADIA DE GOIAS,March de 2023,0.0
ABADIA DE GOIAS,April de 2023,0.0
ABADIA DE GOIAS,May de 2023,1.0
ABADIA DE GOIAS,June de 2023,0.0
ABADIA DE GOIAS,July de 2023,0.0
ABADIA DE GOIAS,August de 2023,0.0
ABADIA DE GOIAS,September de 2023,3.0
ABADIA DE GOIAS,October de 2023,1.0
ABADIA DE GOIAS,November de 2023,1.0
ABADIA DE GOIAS,December de 2023,0.0
ABADIA DE GOIAS,January de 2024,0.0
ABADIA DE GOIAS,February de 2024,1.0
ABADIA DE GOIAS,March de 2024,0.0
ABADIA DE GOIAS,April de 2024,0.0
ABADIA DE GOIAS,May de 2024,0.0
ABADIA DE GOIAS,June de 2024,0.0
ABADIA DE GOIAS,July de 2024,0.0
ABADIA DE GOIAS,August de 2024,0.0
ABADIANIA,January de 2021,0.0
ABADIANIA,February de 2021,0.0
ABADIANIA,March de 2021,0.0
ABADIANIA,April de 2021,0.0
ABADIANIA,May de 2021,0.0
ABADIANIA,June de 2021,0.0
ABADIANIA,July de 2021,0.0
ABADIANIA,August de 2021,0.0
ABADIANIA,September de 2021,1.0
ABADIANIA,October de 2021,0.0
ABADIANIA,November de 2021,0.0
ABADIANIA,December de 2021,0.0
ABADIANIA,January de 2022,0.0
ABADIANIA,February de 2022,0.0
ABADIANIA,March de 2022,1.0
ABADIANIA,April de 2022,3.0
ABADIANIA,May de 2022,1.0
ABADIANIA,June de 2022,2.0
ABADIANIA,July de 2022,2.0
ABADIANIA,August de 2022,1.0
ABADIANIA,September de 2022,0.0
ABADIANIA,October de 2022,0.0
ABADIANIA,November de 2022,1.0
ABADIANIA,December de 2022,0.0
ABADIANIA,January de 2023,0.0
ABADIANIA,February de 2023,0.0
ABADIANIA,March de 2023,0.0
ABADIANIA,April de 2023,0.0
ABADIANIA,May de 2023,1.0
ABADIANIA,June de 2023,0.0
ABADIANIA,July de 2023,0.0
ABADIANIA,August de 2023,0.0
ABADIANIA,September de 2023,0.0
ABADIANIA,October de 2023,0.0
ABADIANIA,November de 2023,0.0
ABADIANIA,December de 2023,0.0
ABADIANIA,January de 2024,0.0
ABADIANIA,February de 2024,0.0
ABADIANIA,March de 2024,0.0
ABADIANIA,April de 2024,0.0
ABADIANIA,May de 2024,0.0
ABADIANIA,June de 2024,0.0
ABADIANIA,July de 2024,0.0
ABADIANIA,August de 2024,0.0
ACREUNA,January de 2021,1.0
ACREUNA,February de 2021,0.0
ACREUNA,March de 2021,0.0
ACREUNA,April de 2021,0.0
ACREUNA,May de 2021,0.0
ACREUNA,June de 2021,0.0
ACREUNA,July de 2021,0.0
ACREUNA,August de 2021,0.0
ACREUNA,September de 2021,0.0
ACREUNA,October de 2021,0.0
ACREUNA,November de 2021,0.0
ACREUNA,December de 2021,0.0
ACREUNA,January de 2022,0.0
ACREUNA,February de 2022,0.0
ACREUNA,March de 2022,0.0
